Date,Type,Description,City
"2017-01-07 00:00:00,000","smuggling","","Savannah"
"2017-01-11 00:00:00,000","murder","","Springdale"
"2017-01-12 00:00:00,000","smuggling","","Melbourne"
"2017-01-13 00:00:00,000","assault","","Reading"
"2017-01-14 00:00:00,000","blackmail","","Orange"
"2017-01-16 00:00:00,000","blackmail","","Ontario"
"2017-01-16 00:00:00,000","bribery","","Memphis"
"2017-01-19 00:00:00,000","robbery","","Asheville"
"2017-01-22 00:00:00,000","robbery","","Houston"
"2017-01-22 00:00:00,000","bribery","","Oakland"
"2017-01-22 00:00:00,000","bribery","","Omaha"
"2017-01-22 00:00:00,000","assault","","Layton"
"2017-01-23 00:00:00,000","blackmail","","Arvada"
"2017-01-23 00:00:00,000","assault","","Sterling Heights"
"2017-01-24 00:00:00,000","arson","","Arlington"
"2017-01-24 00:00:00,000","murder","","Waterbury"
"2017-01-29 00:00:00,000","robbery","","Saint Louis"
"2017-01-30 00:00:00,000","fraud","","Lancaster"
"2017-01-30 00:00:00,000","arson","","Allentown"
"2017-01-31 00:00:00,000","bribery","","Layton"
"2017-01-31 00:00:00,000","bribery","","Apple Valley"
"2017-02-02 00:00:00,000","blackmail","","Boise City"
"2017-02-03 00:00:00,000","smuggling","","Montgomery"
"2017-02-04 00:00:00,000","blackmail","","Albuquerque"
"2017-02-04 00:00:00,000","theft","","Tyler"
"2017-02-05 00:00:00,000","bribery","","Round Lake Beach"
"2017-02-07 00:00:00,000","arson","","Jefferson"
"2017-02-07 00:00:00,000","murder","","Amarillo"
"2017-02-10 00:00:00,000","blackmail","","McAllen"
"2017-02-10 00:00:00,000","bribery","","Muskegon"
"2017-02-14 00:00:00,000","assault","","Lake Charles"
"2017-02-16 00:00:00,000","arson","","Seattle"
"2017-02-19 00:00:00,000","theft","","Irving"
"2017-02-20 00:00:00,000","murder","","Colorado Springs"
"2017-02-20 00:00:00,000","assault","","Tyler"
"2017-02-21 00:00:00,000","blackmail","","Boise"
"2017-02-21 00:00:00,000","robbery","","Winter Haven"
"2017-02-22 00:00:00,000","bribery","","Rochester"
"2017-02-25 00:00:00,000","murder","","Ontario"
"2017-02-27 00:00:00,000","assault","","Reading"
"2017-02-28 00:00:00,000","blackmail","","Corpus Christi"
"2017-03-01 00:00:00,000","assault","","Denver"
"2017-03-01 00:00:00,000","robbery","","Clarksville"
"2017-03-03 00:00:00,000","blackmail","","Bethlehem"
"2017-03-04 00:00:00,000","murder","","Thousand Oaks"
"2017-03-04 00:00:00,000","robbery","","Bonita Springs"
"2017-03-08 00:00:00,000","arson","","Hollywood"
"2017-03-10 00:00:00,000","arson","","GreenBay"
"2017-03-15 00:00:00,000","smuggling","","Daly City"
"2017-03-15 00:00:00,000","robbery","","Anchorage"
"2017-03-16 00:00:00,000","smuggling","","Chula Vista"
"2017-03-19 00:00:00,000","robbery","","Brownsville"
"2017-03-19 00:00:00,000","blackmail","","Marysville"
