txn_id,member_id,ticker,txn_date,txn_type,quantity,percentage_fee,txn_time
1,c81e72,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
2,eccbc8,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
3,a87ff6,BTC,01-01-2017,BUY,50,0,2017-01-01T00:00:00.000Z
4,e4da3b,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
5,167909,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
6,c4ca42,BTC,01-01-2017,BUY,50,0.02,2017-01-01T00:00:00.000Z
7,8f14e4,BTC,01-01-2017,BUY,50,0.21,2017-01-01T00:00:00.000Z
8,c9f0f8,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
9,45c48c,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
10,d3d944,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
11,6512bd,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
12,c20ad4,BTC,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
13,c51ce4,BTC,01-01-2017,BUY,50,0.26,2017-01-01T00:00:00.000Z
14,aab323,BTC,01-01-2017,BUY,50,0.22,2017-01-01T00:00:00.000Z
15,167909,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
16,c4ca42,ETH,01-01-2017,BUY,50,0.1,2017-01-01T00:00:00.000Z
17,c81e72,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
18,eccbc8,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
19,a87ff6,ETH,01-01-2017,BUY,50,0.2,2017-01-01T00:00:00.000Z
20,e4da3b,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
21,8f14e4,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
22,c9f0f8,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
23,45c48c,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
24,d3d944,ETH,01-01-2017,BUY,50,0.3,2017-01-01T00:00:00.000Z
